,date,time,post
0,2021-11-13,2021-12-05 19:02:00,"Back in action one week today at Anfield for the visit of Mikel Artetas Arsenal side. 

4th v 5th in the league, which seemed rather unlikely a few weeks ago. 

Harvey Elliott, Naby Keita, Roberto Firmino and James Milner are the only definite absentees at this moment. Question marks over Joe Gomez and Curtis Jones. 

Game is live on Sky Sports."
1,2021-11-13,2021-12-05 19:08:00,"Alisson

Trent 
Matip
Van Dijk
Tsimikas 

Henderson
Fabinho
Thiago

Salah
Mane
Jota"
2,2021-11-13,2021-12-05 19:59:00,"Mane has broken ribs, or back, or sacroiliac doesnt he?"
3,2021-11-14,2021-12-05 09:47:00,"Originally Posted by FIOS


Mane has broken ribs, or back, or sacroiliac doesnt he?


Swap Mane for the fan who wins a raffle an hour before kick off."
4,2021-11-14,2021-12-05 10:10:00,"So Hendo now has an injury. Jones, Milner, Keita all in doubt. Looks like Fab, Thiago and Ox for Arsenal."
5,2021-11-14,2021-12-05 10:32:00,"At this moment the only players unavailable for certain  are Bobby and Elliot. Everyone else have a possibility to be available for selection unless otherwise notified.

Glass is half full, unlike others."
6,2021-11-14,2021-12-05 11:20:00,AnyWinWhereWeScoreThreeGoalsAndConcedeNoneWillDo.
7,2021-11-14,2021-12-05 11:32:00,"Originally Posted by Klopp Hopper


So Hendo now has an injury. Jones, Milner, Keita all in doubt. Looks like Fab, Thiago and Ox for Arsenal.


I very much doubt Henderson is injured, like others have said its probably been agreed he could return after Albania"
8,2021-11-14,2021-12-05 11:39:00,Sky just saying that Henderson pulled out of the England squad as a precaution and it's nothing serious.
9,2021-11-14,2021-12-05 14:02:00,Hope we smash these. Arsenal fans getting cocky again.
10,2021-11-14,2021-12-05 14:12:00,"Originally Posted by Gegenpressing


Hope we smash these. Arsenal fans getting cocky again.


Just got to tighten the defence, we WILL score goals, itâs just about how many we concede"
11,2021-11-14,2021-12-05 14:15:00,A lot of laughing at Arsenal at the start of the season and now they are a win away from going above us.
12,2021-11-14,2021-12-05 14:23:00,"Originally Posted by spider-neil


A lot of laughing at Arsenal at the start of the season and now they are a win away from going above us.


Good job they wont win then"
13,2021-11-14,2021-12-05 14:25:00,"Originally Posted by spider-neil


A lot of laughing at Arsenal at the start of the season and now they are a win away from going above us.


I still think they’re a team that will go on runs but will also go on runs of bad form as well."
14,2021-11-14,2021-12-05 14:30:00,"Originally Posted by Gegenpressing


I still think theyâre a team that will go on runs but will also go on runs of bad form as well.


We are the first top team they have faced since they lost 5-0 to City in August too. 

Their fixtures over Christmas are unkind as well."
15,2021-11-14,2021-12-05 14:31:00,"Originally Posted by SalahDressing


We are the first top team they have faced since they lost 5-0 to City in August too. 

Their fixtures over Christmas are unkind as well.


Absolutely. They still had to win those games though, I suppose."
16,2021-11-14,2021-12-05 15:10:00,"Originally Posted by spider-neil


A lot of laughing at Arsenal at the start of the season and now they are a win away from going above us.


 Klopp out."
17,2021-11-15,2021-12-05 00:00:00,"Originally Posted by SalahDressing


We are the first top team they have faced since they lost 5-0 to City in August too. 

Their fixtures over Christmas are unkind as well.


I'm less bothered about this kind of thing these days - we've dropped points to Brighton and Brentford. It's the Premier League, every match has the potential to be tough - apart from Norwich, maybe!"
18,2021-11-15,2021-12-05 00:08:00,"Originally Posted by RobertoBaggio94


Alisson

Trent 
Matip
Van Dijk
Tsimikas 

Henderson
Fabinho
Thiago

Salah
Mane
Jota


This, but I think Origi or Minamino might make the team somewhere esp if Hendo/Mane injuries are serious, which seems like they're not."
19,2021-11-15,2021-12-05 01:12:00,"Looks like Hendo and Mane are doubts for Arsenal. If so, this is the team surely...


Alisson

Arnold - Matip - Virgil - Robbo

Chambo - Fabinho - Thiago

Salah - Origi - Jota"
20,2021-11-15,2021-12-05 10:20:00,Play the kids!
21,2021-11-15,2021-12-05 11:16:00,"Originally Posted by Alison Becker


Looks like Hendo and Mane are doubts for Arsenal. If so, this is the team surely...


Alisson

Arnold - Matip - Virgil - Robbo

Chambo - Fabinho - Thiago

Salah - Origi - Jota


Wouldnt play Robertson, hes been awful lately, and Id probs play konate over matip, not sure about mane but Id be shocked if Henderson didnt play"
22,2021-11-15,2021-12-05 11:39:00,"Originally Posted by Redeyes77


Wouldnt play Robertson, hes been awful lately, and Id probs play konate over matip, not sure about mane but Id be shocked if Henderson didnt play


Agreed. Id loan him out to Aston Villa for the rest of the season along with Jones."
23,2021-11-15,2021-12-05 11:47:00,"Originally Posted by Klopp Hopper


Agreed. I’d loan him out to Aston Villa for the rest of the season along with Jones.


Why Villa?

What's wrong with Norwich?"
24,2021-11-15,2021-12-05 12:00:00,"Originally Posted by Klopp Hopper


Agreed. Id loan him out to Aston Villa for the rest of the season along with Jones.


Ha ha nice one"
25,2021-11-15,2021-12-05 15:18:00,"Originally Posted by kas74


Why Villa?

What's wrong with Norwich?


Ive got no idea. I just make this **** up. Maybe because of Stevie G?"
26,2021-11-15,2021-12-05 15:36:00,Henderson really should be calling time on his international career after the WC.
27,2021-11-15,2021-12-05 15:49:00,"Originally Posted by SachaTomek


Henderson really should be calling time on his international career after the WC.


Ideally for us yes but knowing Hendo hell want to continue on until hes physically unable to draw another breathe of air."
28,2021-11-15,2021-12-05 15:51:00,"Originally Posted by XO_OX


Ideally for us yes but knowing Hendo he’ll want to continue on until hes physically unable to draw another breathe of air.


He shouldn't make the same mistake Gerrard did after 2012."
29,2021-11-16,2021-12-05 02:01:00,"Referee: Michael Oliver. Assistants: Stuart Burt, Simon Bennett. Fourth official: Andy Madley. VAR: Chris Kavanagh. Assistant VAR: Sian Massey-Ellis."
30,2021-11-16,2021-12-05 08:33:00,"Team for me, based on injuries pre and during international break:

Becker

Trent
Konate
VVD
Simmy Kiss

Fabinho
Hendo (if available - not thought to be too serious by all accounts I understand)
Tiggy

Salah
Origi (deserves a chance up top after his recent performances). 
Jota"
31,2021-11-16,2021-12-05 08:33:00,"Originally Posted by bjb7225


Referee: Michael Oliver. Assistants: Stuart Burt, Simon Bennett. Fourth official: Andy Madley. VAR: Chris Kavanagh. Assistant VAR: Sian Massey-Ellis.




A decent-ish Ref for once."
32,2021-11-16,2021-12-05 10:43:00,"Originally Posted by spider-neil


A lot of laughing at Arsenal at the start of the season and now they are a win away from going above us.


They are still absolute crap though. Id be frankly amazed and v annoyed if we do anything but win on Sat."
33,2021-11-16,2021-12-05 10:46:00,"Originally Posted by Dreamof20


A decent-ish Ref for once.


Nah. He was the referee who failed to send off Pickford after his assault on VVD last October - season spiralled after that game."
34,2021-11-16,2021-12-05 13:31:00,"Originally Posted by JB79


Nah. He was the referee who failed to send off Pickford after his assault on VVD last October - season spiralled after that game.


He is normally decent. Even the decent refs have off days. He can make it up to us on Sat."
35,2021-11-16,2021-12-05 17:49:00,"Is this too controversial?


Alisson

Arnold - Matip - Konate - Tsimikas

Hendo - Fabinho - Thiago

Salah - Jota - Mane"
36,2021-11-16,2021-12-05 18:38:00,"Originally Posted by Alison Becker


Is this too controversial?


Alisson

Arnold - Matip - Konate - Tsimikas

Hendo - Fabinho - Thiago

Salah - Jota - Mane


No, not controversial....just won't be the team.

Assuming everyone is fit."
37,2021-11-16,2021-12-05 19:19:00,"We should win this just depends what team turns up on the day

Our defence is so poor and leaking goals for fun right now"
38,2021-11-16,2021-12-05 20:44:00,"Originally Posted by Alison Becker


Is this too controversial?


Alisson

Arnold - Matip - Konate - Tsimikas

Hendo - Fabinho - Thiago

Salah - Jota - Mane


Swap matip for vvd"
39,2021-11-16,2021-12-05 20:46:00,is robbo out ?
40,2021-11-16,2021-12-05 23:32:00,"Originally Posted by Dreamof20


Team for me, based on injuries pre and during international break:

Becker

Trent
Konate
VVD
Simmy Kiss

Fabinho
Hendo (if available - not thought to be too serious by all accounts I understand)
Tiggy

Salah
Origi (deserves a chance up top after his recent performances). 
Jota


Origi was injured tonight. No idea how bad it was, but he stayed down for a while before limping off. No Belgian physio went to him or even helped him off. He had to hobble off the pitch the long way around."
41,2021-11-17,2021-12-05 00:13:00,"Originally Posted by Dreamof20


Team for me, based on injuries pre and during international break:

Becker

Trent
Konate
VVD
Simmy Kiss

Fabinho
Hendo (if available - not thought to be too serious by all accounts I understand)
Tiggy

Salah
Origi (deserves a chance up top after his recent performances). 
Jota


Origi is scheduled to start on Wednesday, so I doubt he starts Saturday,"
42,2021-11-17,2021-12-05 00:14:00,"Originally Posted by johnjj147


is robbo out ?


we'll find out on Friday"
43,2021-11-17,2021-12-05 00:15:00,"Alisson

Arnold - Matip - VVD - Tsimikas

Hendo - Fabinho - Thiago

Salah - Jota - Mane

need 3 points so have to start our strongest. We can ring in changes on Wednesday."
44,2021-11-17,2021-12-05 08:44:00,"Originally Posted by hj77


Origi was injured tonight. No idea how bad it was, but he stayed down for a while before limping off. No Belgian physio went to him or even helped him off. He had to hobble off the pitch the long way around.


If it’s not too bad and he can recover, then I would hope he starts.

I was surprised to see Origi called up for Belgium. Never thought he would be in contention."
45,2021-11-17,2021-12-05 08:45:00,"Originally Posted by bjb7225


Alisson

Arnold - Matip - VVD - Tsimikas

Hendo - Fabinho - Thiago

Salah - Jota - Mane

need 3 points so have to start our strongest. We can ring in changes on Wednesday.


Arsenal have pace. We need Konate/Gomez at the back alongside VVD."
46,2021-11-17,2021-12-05 10:32:00,"Originally Posted by spider-neil


A lot of laughing at Arsenal at the start of the season and now they are a win away from going above us.


Quietly going about their business currently.

I have an Arsenal diehard student who is all confident about Smith Rowe terrorizing our defenders.

I just ignore him if I am being honest."
47,2021-11-17,2021-12-05 10:33:00,"Originally Posted by dazsolo


We should win this just depends what team turns up on the day

Our defence is so poor and leaking goals for fun right now


Nice bit of contradiction there."
48,2021-11-17,2021-12-05 10:36:00,"Originally Posted by bjb7225


Origi is scheduled to start on Wednesday, so I doubt he starts Saturday,


Who's he playing for on Weds? He played last night. Oh that will be the Nations League qualifier for the qualifiers for the group stages 1st round. Yeah Belgium play again on Thursday as well. Cant have players getting too much rest."
49,2021-11-17,2021-12-05 13:56:00,"Originally Posted by Dreamof20


Arsenal have pace. We need Konate/Gomez at the back alongside VVD.


Lets have both...


Alisson

Gomez - Konate - Virgil

Arnold --------------------- Tsimikas

Hendinho - Fabinho

Salah - Jota - Mane"
50,2021-11-17,2021-12-05 15:00:00,"Originally Posted by Alison Becker


Lets have both...


Alisson

Gomez - Konate - Virgil

Arnold --------------------- Tsimikas

Hendinho - Fabinho

Salah - Jota - Mane


That's a great line up. Not sure if Klopp will go for it, since it is a 3CB formation on paper. Moving Gomez to RB frees up Neco to come in later in the game. TAA will not be targeted by anyone if a opposition Goal is scored form right side, not that it will happen as our right side defense looks very solid."
51,2021-11-17,2021-12-05 15:04:00,"Originally Posted by ghyllred


Who's he playing for on Weds? He played last night. Oh that will be the Nations League qualifier for the qualifiers for the group stages 1st round. Yeah Belgium play again on Thursday as well. Cant have players getting too much rest.


Next Wednesday against Porto"
52,2021-11-17,2021-12-05 16:55:00,"Originally Posted by Alison Becker


Lets have both...


Alisson

Gomez - Konate - Virgil

Arnold --------------------- Tsimikas

Hendinho - Fabinho

Salah - Jota - Mane


Can't stand that formation."
53,2021-11-17,2021-12-05 16:56:00,"Alisson
TAA - Matip - VVD - Tsimikas
Henderson - Fabinho - Thiago
Salah - Jota - Mane"
54,2021-11-17,2021-12-05 17:10:00,"Originally Posted by JB79


Nah. He was the referee who failed to send off Pickford after his assault on VVD last October - season spiralled after that game.


He is good ref, best in the league and best for us. Situation you mention was procedural issue I think, faul was after offside. This probably stopped MO action."
55,2021-11-17,2021-12-05 18:26:00,"Originally Posted by Alison Becker


Lets have both...


Alisson

Gomez - Konate - Virgil

Arnold --------------------- Tsimikas

Hendinho - Fabinho

Salah - Jota - Mane


No chance we play 3 at the back"
56,2021-11-17,2021-12-05 18:30:00,"Originally Posted by Alison Becker


Lets have both...


Alisson

Gomez - Konate - Virgil

Arnold --------------------- Tsimikas

Hendinho - Fabinho

Salah - Jota - Mane


I do wonder whether a back three would be more suitable due to midfield injuries and our defensive woes. However, Klopp only does a Plan A approach."
57,2021-11-18,2021-12-05 01:41:00,"Originally Posted by Alison Becker


Lets have both...


Alisson

Gomez - Konate - Virgil

Arnold --------------------- Tsimikas

Hendinho - Fabinho

Salah - Jota - Mane


I'd rather dangle my love spuds over a hungry lions mouth than entertain ever playing that ***** 3 at the back nonsense formation."
58,2021-11-18,2021-12-05 03:16:00,"Originally Posted by Dreamof20


Team for me, based on injuries pre and during international break:

Becker

Trent
Konate
VVD
Simmy Kiss

Fabinho
Hendo (if available - not thought to be too serious by all accounts I understand)
Tiggy

Salah
Origi (deserves a chance up top after his recent performances). 
Jota


I like Minamino."
59,2021-11-18,2021-12-05 03:17:00,"Originally Posted by JB79


Nah. He was the referee who failed to send off Pickford after his assault on VVD last October - season spiralled after that game.


Right, the VAR guy that day was David The Coward Coote."
60,2021-11-18,2021-12-05 08:05:00,"Originally Posted by firminorules


Right, the VAR guy that day was David The Coward Coote.


Not a fan?"
61,2021-11-18,2021-12-05 13:55:00,"Originally Posted by firminorules


I like Minamino.


Yes I think he deserves an opportunity and this could be the game. However, Mane is obviously fine (in training) so he be playing with Salah and Jota."
